1 1 -5.44
1 2 -4.99
1 3 -5.80
1 4 -5.50
1 5 -5.83
1 6 -4.96
1 7 -4.95
1 8 -4.16
1 9 -3.57
1 10 -3.16
1 11 -3.11
1 12 -2.86
1 13 -2.59
1 14 -2.85
1 15 -2.41
1 16 -2.27
1 17 -3.60
1 18 -2.57
1 19 -1.95
1 20 -3.07
2 1 -4.99
2 2 -5.46
2 3 -6.56
2 4 -6.02
2 5 -6.41
2 6 -5.32
2 7 -5.55
2 8 -4.91
2 9 -3.94
2 10 -3.39
2 11 -3.51
2 12 -3.03
2 13 -2.95
2 14 -3.30
2 15 -2.57
2 16 -2.89
2 17 -3.98
2 18 -3.12
2 19 -2.48
2 20 -3.45
3 1 -5.80
3 2 -6.56
3 3 -7.26
3 4 -6.84
3 5 -7.28
3 6 -6.29
3 7 -6.16
3 8 -5.66
3 9 -4.81
3 10 -4.13
3 11 -4.28
3 12 -4.02
3 13 -3.75
3 14 -4.10
3 15 -3.48
3 16 -3.56
3 17 -4.77
3 18 -3.98
3 19 -3.36
3 20 -4.25
4 1 -5.50
4 2 -6.02
4 3 -6.84
4 4 -6.54
4 5 -7.04
4 6 -6.05
4 7 -5.78
4 8 -5.25
4 9 -4.58
4 10 -3.78
4 11 -4.03
4 12 -3.52
4 13 -3.24
4 14 -3.67
4 15 -3.17
4 16 -3.27
4 17 -4.14
4 18 -3.63
4 19 -3.01
4 20 -3.76
5 1 -5.83
5 2 -6.41
5 3 -7.28
5 4 -7.04
5 5 -7.37
5 6 -6.48
5 7 -6.14
5 8 -5.67
5 9 -4.91
5 10 -4.16
5 11 -4.34
5 12 -3.92
5 13 -3.74
5 14 -4.04
5 15 -3.40
5 16 -3.59
5 17 -4.54
5 18 -4.03
5 19 -3.37
5 20 -4.20
6 1 -4.96
6 2 -5.32
6 3 -6.29
6 4 -6.05
6 5 -6.48
6 6 -5.52
6 7 -5.18
6 8 -4.62
6 9 -4.04
6 10 -3.38
6 11 -3.46
6 12 -3.05
6 13 -2.83
6 14 -3.07
6 15 -2.48
6 16 -2.67
6 17 -3.58
6 18 -3.07
6 19 -2.49
6 20 -3.32
7 1 -4.95
7 2 -5.55
7 3 -6.16
7 4 -5.78
7 5 -6.14
7 6 -5.18
7 7 -5.06
7 8 -4.66
7 9 -3.82
7 10 -3.42
7 11 -3.22
7 12 -2.99
7 13 -3.07
7 14 -3.11
7 15 -2.84
7 16 -2.99
7 17 -3.98
7 18 -3.41
